capability_id,capability_family,name,initial_lane,target_node,status,priority,inputs,outputs,validator,human_gate,notes
project-intake-v1,Project Intake,Create governed SSD project intake,HYBRID,CERTA-SERVER,PLANNED,P0,"intake;scope;files;KML;project ID","project manifest;source registry;missing requirements;receipt",schema and source-count validation,PM approval for scope changes,"Server owns project identity and next-task state"
courthouse-touching-parcels-v1,Courthouse Research,Identify subject and relevant/touching parcels,SCRIPT,CERTA-SERVER,PLANNED,P1,"subject KML/GIS parcel","parcel register;parcel folders;map index",geometry/topology and ID validation,Research review,"GIS selection is research planning evidence"
courthouse-source-capture-v1,Courthouse Research,Capture and register map cards deeds plats and IDX sources,SPECIALIST,CERTA-SERVER,PLANNED,P1,"parcel register;browser/IDX access","source files;capture manifest;research log",file/readback/source citation validation,Research review,"Preserve source evidence; no credential capture"
courthouse-ocr-metadata-v1,Courthouse Research,Extract deed and plat metadata,OLLAMA,CERTA-SERVER,PLANNED,P1,"deed/plat PDFs and images","metadata candidates;back references;warnings",field/schema validation and sampled source comparison,Research review,"Candidate-only extraction"
chain-of-title-v1,Courthouse Research,Update chain of title and back-reference graph,HYBRID,CERTA-SERVER,PLANNED,P1,"verified metadata;source files","chain register;gap list;receipt",graph consistency and source-link validation,Research/PLS review,"Title context remains separately auditable"
plot-source-gate-v1,Courthouse Research,Determine plot-ready source status,SCRIPT,CERTA-SERVER,PLANNED,P1,"source registry;deed/plat metadata","plot-ready flag;missing-source reason",exact source/reference rule validation,Research review,"AI confidence cannot satisfy gate"
legal-call-extract-v1,Auto Plot,Extract raw legal calls and physical calls,OLLAMA,CERTA-SERVER,PLANNED,P2,"verified deed/plat source","raw calls;normalized candidates;source citations",schema and source-text comparison,Survey tech review,"Preserve raw wording"
legal-call-normalize-v1,Auto Plot,Normalize bearings distances curves ties and calls,HYBRID,CERTA-SERVER,PLANNED,P2,"raw legal calls","normalized call JSON/CSV;warnings",unit/bearing/curve validation,Survey tech review,"Ambiguous calls route to review"
deed-plot-v1,Auto Plot,Create deterministic raw deed plot,SCRIPT,CERTA-SERVER,PLANNED,P2,"normalized calls","raw DXF;points;lines;area;closure",closure and geometry regression tests,Survey tech/PLS review,"No silent adjustment"
deed-closure-v1,Auto Plot,Compute raw closure and precision,SCRIPT,CERTA-SERVER,PLANNED,P2,"normalized closed traverse","closure vector;ratio;area;warnings",independent numeric check,Survey tech review,"Adjusted reconstruction stored separately"
